id,version,context,constraint,speaker_utterance,question,option_a,option_b,option_c,correct_answer
1,base,"a red apple, a green pear, a red peach",B is color-blind; A just ate an apple.,The red one is yummy.,What does A most likely refer to?,red apple,green pear,red peach,C 
1,cf,"a red apple, a green pear, a red peach",B is color-blind; A already ate the peach.,The red one is yummy.,What does A most likely refer to?,red apple,green pear,red peach,A
2,base,"a large suitcase, a small suitcase, a backpack",B cannot judge size; A already checked the large suitcase,Bring the suitcase I still need.,What does A most likely refer to?,large suitcase,small suitcase,backpack,B
2,cf,"a large suitcase, a small suitcase, a backpack",B cannot judge size; A already checked the small suitcase,Bring the suitcase I still need.,What does A most likely refer to?,large suitcase,small suitcase,backpack,A
3,base,"a red ceramic mug, a blue ceramic mug, a glass mug",B is color-blind; A already washed the red ceramic mug,Pass me the ceramic mug I haven't cleaned yet.,What does A most likely refer to?,red ceramic mug,blue ceramic mug,glass mug,B
3,cf,"a red ceramic mug, a blue ceramic mug, a glass mug",B is color-blind; A already washed the blue ceramic mug,Pass me the ceramic mug I haven't cleaned yet.,What does A most likely refer to?,red ceramic mug,blue ceramic mug,glass mug,A
4,base,"a tomato soup can, a mushroom soup can, a soda can",B cannot read labels; A already opened the tomato soup can,Hand me the soup can I haven't opened.,What does A most likely refer to?,tomato soup can,mushroom soup can,soda can,B
4,cf,"a tomato soup can, a mushroom soup can, a soda can",B cannot read labels; A already opened the mushroom soup can,Hand me the soup can I haven't opened.,What does A most likely refer to?,tomato soup can,mushroom soup can,soda can,A
5,base,"a blue gel pen, a red gel pen, a pencil",B cannot distinguish colors; A already used the blue gel pen,Give me the gel pen I haven't used.,What does A most likely refer to?,blue gel pen,red gel pen,pencil,B
5,cf,"a blue gel pen, a red gel pen, a pencil",B cannot distinguish colors; A already used the red gel pen,Give me the gel pen I haven't used.,What does A most likely refer to?,blue gel pen,red gel pen,pencil,A
6,base,"a glass cup, a plastic cup, a metal cup",B cannot see materials; A already broke the glass cup,Pick the cup that is still usable.,What does A most likely refer to?,glass cup,plastic cup,metal cup,B
6,cf,"a glass cup, a plastic cup, a metal cup",B cannot see materials; A already broke the plastic cup,Pick the cup that is still usable.,What does A most likely refer to?,glass cup,plastic cup,metal cup,A
7,base,"a ringing phone, a silent phone, a tablet",B cannot hear; A already answered the ringing phone,Take the device that still needs attention.,What does A most likely refer to?,ringing phone,silent phone,tablet,B
7,cf,"a ringing phone, a silent phone, a tablet",B cannot hear; A already answered the silent phone,Take the device that still needs attention.,What does A most likely refer to?,ringing phone,silent phone,tablet,A
8,base,"a full bottle, a half-full bottle, an empty bottle",B cannot judge weight; A already used the full bottle,Use the bottle that still has something left.,What does A most likely refer to?,full bottle,half-full bottle,empty bottle,B
8,cf,"a full bottle, a half-full bottle, an empty bottle",B cannot judge weight; A already used the half-full bottle,Use the bottle that still has something left.,What does A most likely refer to?,full bottle,half-full bottle,empty bottle,A
9,base,"a lit candle, an unlit candle, a flashlight",B cannot see light; A already used the lit candle,Take the item that hasn't been used for lighting yet.,What does A most likely refer to?,lit candle,unlit candle,flashlight,B
9,cf,"a lit candle, an unlit candle, a flashlight",B cannot see light; A already used the unlit candle,Take the item that hasn't been used for lighting yet.,What does A most likely refer to?,lit candle,unlit candle,flashlight,A
10,base,"a clean plate, a dirty plate, a bowl",B cannot see cleanliness; A already used the clean plate,Grab the plate I haven't used.,What does A most likely refer to?,clean plate,dirty plate,bowl,B
10,cf,"a clean plate, a dirty plate, a bowl",B cannot see cleanliness; A already used the dirty plate,Grab the plate I haven't used.,What does A most likely refer to?,clean plate,dirty plate,bowl,A
11,base,"a hardcover book, a paperback book, a notebook",B cannot judge weight; A already picked the hardcover book,Take the book I didn't choose.,What does A most likely refer to?,hardcover book,paperback book,notebook,B
11,cf,"a hardcover book, a paperback book, a notebook",B cannot judge weight; A already picked the paperback book,Take the book I didn't choose.,What does A most likely refer to?,hardcover book,paperback book,notebook,A
12,base,"a hot coffee, a cold coffee, a juice",B cannot feel temperature; A already drank the hot coffee,Take the drink I haven't tried.,What does A most likely refer to?,hot coffee,cold coffee,juice,B
12,cf,"a hot coffee, a cold coffee, a juice",B cannot feel temperature; A already drank the cold coffee,Take the drink I haven't tried.,What does A most likely refer to?,hot coffee,cold coffee,juice,A
13,base,"a blue shirt, a red shirt, a jacket",B cannot distinguish colors; A already wore the blue shirt,Give me the shirt I haven't worn.,What does A most likely refer to?,blue shirt,red shirt,jacket,B
13,cf,"a blue shirt, a red shirt, a jacket",B cannot distinguish colors; A already wore the red shirt,Give me the shirt I haven't worn.,What does A most likely refer to?,blue shirt,red shirt,jacket,A
14,base,"a sweet apple, a sour apple, a banana",B cannot taste; A already ate the sweet apple,Take the apple I didn't eat.,What does A most likely refer to?,sweet apple,sour apple,banana,B
14,cf,"a sweet apple, a sour apple, a banana",B cannot taste; A already ate the sour apple,Take the apple I didn't eat.,What does A most likely refer to?,sweet apple,sour apple,banana,A
15,base,"a noisy toy, a quiet toy, a book",B cannot hear; A already played with the noisy toy,Pick the toy I haven't used.,What does A most likely refer to?,noisy toy,quiet toy,book,B
15,cf,"a noisy toy, a quiet toy, a book",B cannot hear; A already played with the quiet toy,Pick the toy I haven't used.,What does A most likely refer to?,noisy toy,quiet toy,book,A
