item_id,domain,mechanism,culture,culture_type,language,category,coordination_rate
Colors_universal_en_001,Colors,Perception,universal,weak,en,Primary Colors,0.42
Colors_universal_en_002,Colors,Perception,universal,weak,en,Warm Colors,0.48
Colors_universal_en_003,Colors,Perception,universal,weak,en,Cool Colors,0.52
Colors_universal_en_004,Colors,Perception,universal,weak,en,Basic Shapes,0.32
Colors_universal_en_005,Colors,Perception,universal,weak,en,Geometric Shapes,0.48
Colors_universal_zh_001,Colors,Perception,universal,weak,zh,基本颜色,0.5
Colors_universal_zh_002,Colors,Perception,universal,weak,zh,暖色,0.3
Colors_universal_zh_003,Colors,Perception,universal,weak,zh,冷色,0.48
Colors_universal_zh_004,Colors,Perception,universal,weak,zh,基本形状,0.58
Colors_universal_zh_005,Colors,Perception,universal,weak,zh,几何图形,0.64
Shapes_universal_en_001,Shapes,Perception,universal,weak,en,Compass Directions,0.38
Shapes_universal_en_002,Shapes,Perception,universal,weak,en,Vertical Directions,0.38
Shapes_universal_en_003,Shapes,Perception,universal,weak,en,Spatial Relations,0.3
Shapes_universal_en_004,Shapes,Perception,universal,weak,en,Extremes of Size,0.54
Shapes_universal_en_005,Shapes,Perception,universal,weak,en,Extremes of Temperature,0.46
Shapes_universal_zh_001,Shapes,Perception,universal,weak,zh,方向,0.34
Shapes_universal_zh_002,Shapes,Perception,universal,weak,zh,空间方位,0.54
Shapes_universal_zh_003,Shapes,Perception,universal,weak,zh,大小极端,0.54
Shapes_universal_zh_004,Shapes,Perception,universal,weak,zh,温度极端,0.54
Shapes_universal_zh_005,Shapes,Perception,universal,weak,zh,速度,0.78
Spatial Directions_universal_en_001,Spatial Directions,Perception,universal,weak,en,Extremes of Speed,0.52
Spatial Directions_universal_en_002,Spatial Directions,Perception,universal,weak,en,Extremes of Weight,0.26
Spatial Directions_universal_en_003,Spatial Directions,Perception,universal,weak,en,Light and Dark,0.62
Spatial Directions_universal_en_004,Spatial Directions,Perception,universal,weak,en,Sound Levels,0.68
Spatial Directions_universal_en_005,Spatial Directions,Perception,universal,weak,en,Texture Words,0.36
Spatial Directions_universal_zh_001,Spatial Directions,Perception,universal,weak,zh,明暗程度,0.3
Spatial Directions_universal_zh_002,Spatial Directions,Perception,universal,weak,zh,声音大小,0.48
Spatial Directions_universal_zh_003,Spatial Directions,Perception,universal,weak,zh,质感,0.5
Spatial Directions_universal_zh_004,Spatial Directions,Perception,universal,weak,zh,线条类型,0.62
Spatial Directions_universal_zh_005,Spatial Directions,Perception,universal,weak,zh,亮度级别,0.3
Extremes_universal_en_001,Extremes,Perception,universal,weak,en,Basic Patterns,0.62
Extremes_universal_en_002,Extremes,Perception,universal,weak,en,Line Types,0.42
Extremes_universal_en_003,Extremes,Perception,universal,weak,en,Depth Levels,0.42
Extremes_universal_en_004,Extremes,Perception,universal,weak,en,Brightness Levels,0.62
Extremes_universal_en_005,Extremes,Perception,universal,weak,en,Color Families,0.44
Extremes_universal_zh_001,Extremes,Perception,universal,weak,zh,深浅程度,0.66
Extremes_universal_zh_002,Extremes,Perception,universal,weak,zh,图案,0.46
Extremes_universal_zh_003,Extremes,Perception,universal,weak,zh,颜色系列,0.6
Extremes_universal_zh_004,Extremes,Perception,universal,weak,zh,光线,0.56
Extremes_universal_zh_005,Extremes,Perception,universal,weak,zh,声音频率,0.56
Numbers_universal_en_001,Numbers,Symbolism,universal,weak,en,Single Digit Numbers,0.34
Numbers_universal_en_002,Numbers,Symbolism,universal,weak,en,Round Numbers,0.46
Numbers_universal_en_003,Numbers,Symbolism,universal,weak,en,Lucky Numbers,0.36
Numbers_universal_en_004,Numbers,Symbolism,universal,weak,en,Even Numbers,0.34
Numbers_universal_en_005,Numbers,Symbolism,universal,weak,en,Odd Numbers,0.38
Numbers_universal_zh_001,Numbers,Symbolism,universal,weak,zh,个位数字,0.74
