ID,Coordination Partner,Scenario,Question,Option A,Option B,Option C,Correct
1,5-year-old child,"A game show host tells both you and a 5-year-old: 'Point to the animal with a very long nose.' You see three animals: an anteater, an elephant, and a snake. You win only if you and the child point to the same animal.",Which animal do you point to?,Anteater,Elephant,Snake,B
2,Partner who has never left rural China,You and a partner who grew up in rural China and has no overseas travel experience must independently write down one Western city when you hear the word 'romance.' You win only if you both write the same city.,Which city do you write?,Venice,Paris,Bruges,B
3,Stranger from Japan,You and a Japanese stranger must independently name one colour when you hear 'danger.' You win only if you match.,Which colour do you say?,Red,Yellow,Black,A
4,90-year-old grandmother with no internet experience,You and an elderly grandmother who has never used the internet must independently name the most famous person in history when prompted. You win only if you match.,Whom do you name?,Albert Einstein,Jesus Christ,Elon Musk,B
5,Monolingual Mandarin speaker,"You and a monolingual Mandarin speaker are each shown pictures of three fruits — durian, apple, banana — and asked: 'Pick the fruit everyone likes.' You win only if you match.",Which fruit do you pick?,Durian,Apple,Banana,C
6,Toddler (age 2–3),"You and a toddler both hear a song and must point to the musical instrument making the sound. The options shown are: a drum, a violin, and an oboe. The sound is a simple rhythmic beat. You win only if you both point to the same instrument.",Which instrument do you point to?,Drum,Violin,Oboe,A
7,Tourist from Brazil visiting Asia for the first time,"You and a Brazilian tourist in Tokyo must independently choose one Japanese food to order. You both want to pick the same dish. Options: sushi, natto, okonomiyaki.",Which food do you choose?,Sushi,Natto,Okonomiyaki,A
8,A 7-year-old who only speaks English,"You and a 7-year-old English speaker must each independently pick 'the animal that is the king of the jungle' from: lion, gorilla, tiger. You win only if you match.",Which animal do you pick?,Lion,Gorilla,Tiger,A
9,Deaf partner communicating via sign,"You and a deaf partner must independently pick one word to describe a thunderstorm from: loud, bright, scary. You win only if you match. Your partner has been deaf since birth.",Which word do you pick?,Loud,Bright,Scary,C
10,Elderly person with advanced dementia,"You and a person with advanced dementia are each asked to name a meal. The caretaker says you both win a treat if your answers match. Options: breakfast, lunch, dinner.",Which meal do you name?,Breakfast,Lunch,Dinner,A
11,A 6-year-old who is afraid of the dark,"You and a 6-year-old who is scared of the dark must independently pick the scariest place from: a dark cave, a tall mountain, a deep ocean. You win only if you match.",Which place do you pick?,A dark cave,A tall mountain,A deep ocean,A
