id,context,speaker_utterance,question,option_a,option_b,option_c,correct_answer
1,"[Face-to-face] A and B sit face-to-face at a table. From B's perspective: a cup is on B's left, a book is on B's right, and a pen is in the center.",The object on my left is mine.,Which object does A refer to?,cup,book,pen,B
2,"[Side-by-side] A and B sit next to each other on a park bench, both facing the pond. From B's perspective: a trash can is on B's left, a lamp post is on B's right, and a fountain is straight ahead. A sits to B's left.",The lamp post on my right is pretty.,Which object does A refer to?,fountain,trash can,lamp post,C
3,"[Back-to-back] A and B stand back-to-back in a hallway. A faces north, B faces south. A can see a fire extinguisher on A's left (west side).",There's a fire extinguisher on my left.,From B's perspective (facing south) where is the fire extinguisher?,B's right (west),B's left (east),directly behind B,A
4,"[90°] A and B stand in a room. A faces north, B faces west (B is turned 90° to A's left). A points forward and says:",The exit is straight ahead of me.,From B's perspective where is the exit?,in front of B,behind B,to B's right,C
5,"[Face-to-face] A and B are playing cards across a table. From B's view: the draw pile is on B's left, the discard pile is on B's right, and the score pad is in the center.",Hand me the pile on my right.,Which pile does A want?,draw pile,score pad,discard pile,A
6,"[Side-by-side] A and B walk side by side down a street, both heading east. A is on B's right side. From B's view: a bakery is on B's left (north), a pharmacy is on B's right (south), and a park is straight ahead.",The bakery on my left smells great.,Does A refer to the same bakery B sees on B's left?,A is referring to the pharmacy,yes — same direction so same left,no — A's left is B's right,B
7,"[Face-to-face] A and B sit face-to-face at a cafe. From B's perspective: a sugar bowl is on B's left, a napkin holder is on B's right, and a salt shaker is in the center.",Pass me the thing on my right please.,What should B pass?,sugar bowl,napkin holder,salt shaker,A
8,"[Back-to-back] A and B are painters working on opposite walls of a room. A faces the north wall, B faces the south wall. A spills paint on A's right side (east).",Oh no I spilled paint on my right side.,From B's perspective (facing south) where is the spill?,B's right (west),B's left (east),directly behind B (north),B
9,"[90°] A faces east. B faces south (90° clockwise from A). A sees a cat directly to A's left (north).",There's a cat on my left!,From B's perspective (facing south) where is the cat?,to B's left (east),behind B (north),to B's right (west),B
10,"[Side-by-side] A and B sit side by side in a lecture hall, both facing the projector screen. A sits to B's right. From their shared view: Screen A is on the left, Screen B is in the middle, Screen C is on the right.",The screen on my left is blurry.,Which screen is blurry?,Screen A,Screen B,Screen C,A
11,"[Face-to-face] A is a cashier behind a counter. B is a customer facing A. From B's perspective: the candy rack is on B's left, the register is in the center, and the magazine rack is on B's right.",Could you grab me the thing on my left?,What should B grab?,candy rack,register,magazine rack,C
12,"[Back-to-back] Two security guards A and B stand back-to-back outside a building. A faces the parking lot (west), B faces the entrance (east). A spots a suspicious person to A's left (south).",Someone suspicious on my left.,From B's perspective (facing east) where is the suspicious person?,to B's left (north),to B's right (south),directly behind B (west),B
