ID,Domain,Listener Profile,Scenario,Question,Option A,Option B,Option C,Correct,Focal Point Rationale,Misleading,Misleading Rationale,Irrelevant,Irrelevant Rationale,Why Literal Focal Point
1A,Counter-Prior Knowledge,"A typical 5-year-old child growing up in New York City, who watches animal cartoons frequently.",Speaker Description: Look! It's the big grey animal with a very long nose like a hose!,"What animal is the Speaker most likely referring to, to ensure the listener understands?",Elephant,Tapir,Crocodile,A,Matches the standard global common knowledge of an urban 5-year-old.,B,A tapir fits the description but is too obscure for a standard NYC child.,C,A crocodile does not match the description of a long nose like a hose.,Literal models easily guess A because 'long nose' and 'child' strongly co-occur with 'elephant' in pre-training data.
1B,Counter-Prior Knowledge,A 5-year-old indigenous child who has lived their entire life deep in the Amazon Rainforest and has never seen a TV or animals outside their jungle.,Speaker Description: Look! It's the big animal with a very long nose.,"What animal is the Speaker most likely referring to, to ensure the listener understands?",Elephant,Tapir,Crocodile,B,Rejects global lexical frequency and adapts to the strict local geographical boundaries of the specific listener.,A,"The child has zero context for an elephant, making it a complete communicative failure.",C,A crocodile does not fit the description.,"Literal models fail here by reflexively choosing A (Elephant), ignoring the geographical knowledge boundaries of the listener."
2A,Indirect Speech Acts (Pragmatics),A co-worker sitting at a desk near the server room.,The IT manager calls you on the phone from another building to conduct a routine security check. The manager asks: 'Is the server room door open?',What is the most pragmatically appropriate communicative action?,"Reply verbally: 'Yes, I can confirm the door is open.'","Stand up, walk over, and physically hold the door wide open for them.",Reply verbally: 'I am not the door.',A,"On a remote phone call for a security check, the question functions as a literal request for information. Verbal confirmation is correct.",B,Physically holding a door for someone on the phone in another building is completely illogical.,C,"An unhelpful, sarcastic response.","Literal models succeed easily because the syntactic structure is a polar interrogative (Yes/No question), which directly maps to answering with factual information."
2B,Indirect Speech Acts (Pragmatics),A co-worker sitting at a desk near the server room.,"An IT technician walks up to you, struggling to balance three heavy servers in their arms, nodding toward the server room. The technician asks: 'Is the server room door open?'",What is the most pragmatically appropriate communicative action?,"Reply verbally: 'Yes, I can confirm the door is open.'","Stand up, walk over, and physically hold the door wide open for them.",Reply verbally: 'I am not the door.',B,The physical context (struggling with heavy boxes) transforms the utterance from an information-seeking question into an indirect request for physical assistance.,A,"Technically true, but pragmatically disastrous. Watching a colleague struggle while just saying 'Yes' violates the Gricean Maxim of Relevance.",C,"An unhelpful, sarcastic response.","Literal models fail by choosing A. They parse the syntax purely as a Yes/No question and output the requested information, completely failing to perform the pragmatic inference that the physical struggle turns the question into a behavioral command."
3A,Tabula Rasa (Alien Rule),An adult Zog Scientist.,"Rule: On Planet Zog, the artifact 'Glimorp' is defined as a 'low-frequency oscillating silicon sphere.' Children call it the 'buzzing shiny ball.'",How should you ask the Listener to pass the object?,Please pass the low-frequency oscillating silicon sphere.,Please pass the buzzing shiny ball.,Please pass the round stone that makes a buzzing sound.,A,Applies the precise scientific terminology suitable for an adult scientist's prior knowledge.,B,Too informal and juvenile for a professional scientific setting.,C,Unnecessary simplification of terms.,Literal models succeed by doing direct keyword matching between the Listener's title and the scientific definition.
3B,Tabula Rasa (Alien Rule),An elderly Zog civilian who is completely blind and has no scientific education.,"Rule: On Planet Zog, the artifact 'Glimorp' is defined as a 'low-frequency oscillating silicon sphere.' Children call it the 'buzzing shiny ball.'",How should you ask the Listener to pass the object?,Please pass the low-frequency oscillating silicon sphere.,Please pass the buzzing shiny ball.,Please pass the round stone that makes a buzzing sound.,C,Demonstrates true pragmatic inference by translating the unseen novel object's attributes into sensory inputs (touch and hearing) appropriate for a blind civilian.,B,"Mechanical application of the layman term, ignoring that a blind person cannot see 'shiny'.",A,Irrelevant scientific jargon.,"Literal models fail by choosing B, blindly matching 'civilian/layman' with the children's term without processing the physical limitation (blindness)."
4A,Adversarial Common Ground,Roommate John (alone with the Speaker).,You and John know the spare key is hidden inside the empty blue coffee tin. You want to tell John to bring the hidden item later.,What is the most effective way to communicate the target message?,Don't forget to grab the hidden item from the blue coffee tin before you leave.,"Hey John, when you go out there, can you bring me whatever is left in that blue coffee tin?",Make sure to lock the kitchen door.,A,Direct and explicit communication is the most efficient choice when there is no adversarial eavesdropper.,B,Overly cryptic and inefficient for a standard roommate conversation.,C,Does not communicate the need to grab the hidden item.,"Literal models succeed because the prompt requires straightforward, honest, and direct information delivery."
4B,Adversarial Common Ground,Roommate John (with a hostile kidnapper standing next to them listening).,You and John are held hostage. The kidnapper speaks English. You both know a gun is hidden inside the empty blue coffee tin. You need John to grab it.,What is the most effective way to communicate the target message?,Don't forget to grab the hidden weapon from the blue coffee tin before you leave.,"Hey John, when you go out there, can you bring me whatever is left in that blue coffee tin?",Make sure to lock the kitchen door.,B,Successfully utilizes steganography. Uses a seemingly innocent request to convey a critical message without triggering the kidnapper's suspicion.,A,Too literal and honest. This will immediately alert the kidnapper and cause harm.,C,Fails to convey the survival message.,"Literal models fail by choosing A, as their RLHF alignment prioritizes 'helpfulness/directness' and they lack adversarial ToM to deceive the bystander."
5A,Audience Design (Tech),"A highly technical, data-driven CEO demanding a Root Cause Analysis.",The database crashed due to an unhandled null pointer exception in the legacy billing API.,How should the engineer report the status?,A null pointer exception in the legacy billing API caused a cascade failure.,We experienced a temporary service disruption and are restoring access.,The server room is on fire.,A,Provides the exact technical transparency and root cause detail expected by a technical executive.,B,Too vague and evasive for a CEO seeking a Root Cause Analysis.,C,Factually incorrect and alarmist.,Literal models succeed by simply repeating the technical facts provided in the scenario.
5B,Audience Design (Tech),A nervous PR Manager who needs to draft a public-facing apology tweet for non-technical users.,The database crashed due to an unhandled null pointer exception in the legacy billing API.,How should the engineer report the status?,A null pointer exception in the legacy billing API caused a cascade failure.,We experienced a temporary service disruption and are restoring access.,The server room is on fire.,B,"Translates complex technical failure into reassuring, user-friendly public relations language.",A,Exposes internal technical debt to the public and confuses non-technical users.,C,Factually incorrect and alarmist.,"Literal models fail by choosing A, suffering from the 'curse of knowledge' and failing to adjust jargon for a public audience."
