id,context,speaker_utterance,question,option_a,option_b,option_c,correct_answer,difficulty
1,"a striped shirt, a plain shirt, a striped jacket",I like the striped one.,What does A most likely refer to?,striped shirt,plain shirt ,striped jacket ,A,easy
2,"a wooden chair, a metal chair, a wooden table",I¡¯ll take the wooden one.,What does A most likely refer to?,wooden table,metal chair,wooden chair,C,easy
3,"a small suitcase, a large suitcase, a small backpack",I¡¯m going with the small one.,What does A most likely refer to?,large suitcase,small backpack,small suitcase,C,easy
4,"a blue notebook, a red notebook, a blue folder",I need the blue one.,What does A most likely refer to?,blue folder,blue notebook,red notebook,B,easy
5,"a glass bottle, a plastic bottle, a glass cup",I¡¯ll grab the glass one.,What does A most likely refer to?,glass cup,glass bottle,plastic bottle,B,easy
6,"a round plate, a square plate, a round tray",I¡¯ll use the round one.,What does A most likely refer to?,round plate,round tray,square plate,A,easy
7,"a black pen, a blue pen, a black marker",I¡¯ll take the black one.,What does A most likely refer to?,blue pen,black pen,black marker,B,easy
8,"a tall glass, a short glass, a tall bottle",I want the tall one.,What does A most likely refer to?,tall glass,short glass,tall bottle,A,easy
9,"a heavy book, a light book, a heavy box",I¡¯ll pick the heavy one.,What does A most likely refer to?,light book,heavy book,heavy box,B,easy
10,"a soft pillow, a firm pillow, a soft blanket",I prefer the soft one.,What does A most likely refer to?,firm pillow,soft pillow,soft blanket,B,easy
11,"a silver spoon, a wooden spoon, a silver fork",Pass me the silver one.,What does A most likely refer to?,wooden spoon,silver spoon,silver fork,B,easy
12,"a red mug, a white mug, a red bowl",I¡¯ll take the red one.,What does A most likely refer to?,white mug,red mug,red bowl,B,easy
13,"a thick book, a thin book, a thick folder",I need the thick one.,What does A most likely refer to?,thin book,thick book,thick folder,B,easy
14,"a green towel, a blue towel, a green mat",Use the green one.,What does A most likely refer to?,green mat,blue towel,green towel,C,easy
15,"a long candle, a short candle, a long ruler",I¡¯ll take the long one.,What does A most likely refer to?,short candle,long ruler,long candle,C,easy
16,"a white plate, a black plate, a white tray",Bring me the white one.,What does A most likely refer to?,white plate,black plate,white tray,A,easy
